genus.x,Genus synonyms,Main common name,Other common names,Excluded names
Aplodontia,Aplodontia|Apludontia|Apluodontia|Haplodon|Haplodus|Haploodon|Haploodus|Haploudon|Haploudontia|Haploudus|Hapludon,Mountain Beaver,Sewellel|Point Arena Mountain Beaver|Point Reyes Mountain Beaver,Boomer
Castor,Castor|Fiber|Mamcastorus,North American Beaver,American Beaver|Canadian Beaver,
Alexandromys,Alexandromys|Pallasiinus|Oecomicrotus|Suranomys,Root Vole,Tundra Vole,
Arborimus,Arborimus|Paraphenacomys,White-footed Vole|Red Tree Vole|Sonoma Tree Vole,|Reddish Tree Mouse|California Red Tree Mouse|California Red Tree Vole|Pomo Tree Vole,
Baiomys,Baiomys,Southern Pygmy Mouse|Northern Pygmy Mouse,|,Sitomys musculus
Clethrionomys,Clethrionomys|Evotomys|Glareomys,Western Red-backed Vole|Southern Red-backed Vole|Northern Red-backed Vole,California Red-backed Vole|Boreal Red-backed Vole|Gapper’s Red-backed Vole|Revillagigedo Island Red-backed Vole|Red Vole,"""Clethrionomys obscurus"""
Dicrostonyx,Dicrostonyx|Borioikon|Cuniculus|Misothermus|Tylonyx,Nearctic Collared Lemming|Ungava Collared Lemming|Ogilvie Mountains Collared Lemming|Richardson’s Collared Lemming,Bering Collared Lemming|Greenland Collared Lemming|Northern Collared Lemming|Northern Hoofed Lemming|Northern Varying Lemming|Labrador Collared Lemming|Ogilvie Collared Lemming|Richardson’s Hoofed Lemming|Richardson’s Varying Lemming,
Habromys,Habromys,Chinanteco Deermouse|Delicate Deermouse|Ixtlan Deermouse|Zempoaltepec Deermouse|Crested-tailed Deermouse|Schmidly’s Deermouse|Xico Deermouse,Chinanteco Crested-tail Mouse|Delicate Crested-tail Mouse|Ixtlan Crested-tail Mouse|Zempoaltepec Crested-tail Mouse|Crested-tailed Mouse|Schmidly’s Crested-tail Mouse|Jico Crested-tail Mouse|Jico Deermouse,
Handleyomys,Handleyomys,Alfaro’s Rice Rat|Chapman’s Rice Rat|Guerrero Rice Rat|Black-eared Rice Rat|Highland Rice Rat|Long-nosed Rice Rat|Cloud Forest Rice Rat,Alfaro’s Oryzomys|Chapman’s Oryzomys||Black-eared Oryzomys|Highland Oryzomys|Striped Rice Rat|Long-nosed Oryzomys|Cloud Forest Oryzomys,
Hodomys,Hodomys,Allen’s Woodrat,,
Lemmiscus,Lemmiscus,Sagebrush Vole,,
Lemmus,Lemmus|Myodes|Brachyurus|Hypudaeus|Lemnus|Lemmus|Mirus|Miromus,Nearctic Brown Lemming,,
Megadontomys,Megadontomys,Oaxacan Big-toothed Deermouse|Nelson’s Big-toothed Deermouse|Thomas’s Big-toothed Deermouse,Oaxacan Giant Deermouse|Nelson’s Giant Deer Mouse|Thomas’s Deermouse|Thomas’s Giant Deer Mouse,
Microtus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,California Vole|Gray-tailed Vole|Rock Vole|Western Meadow Vole|Florida Salt Marsh Vole|Guatemalan Vole|Long-tailed Vole|Mexican Vole|Singing Vole|Mogollon Vole|Montane Vole|Tarabundi Vole|Prairie Vole|Creeping Vole|Eastern Meadow Vole|Woodland Vole|Jalapan Vole|North American Water Vole|Townsend’s Vole|Zempoaltepec Vole|Taiga Vole,Amargosa Vole|California Meadow Mouse||Southern Rock Vole|Yellow-nosed Vole|Chihuahua Vole|Potholes Meadow Vole|Admiralty Island Meadow Vole|||Coronation Island Vole|San Bernardino Long-tailed Vole||Alaska Haymouse|Alaska Vole|Toklat Vole|Hualpai Vole|Navajo Vole|Pahranagat Valley Montane Vole|Oaxacan Vole||Oregon Meadow Mouse|Oregon Vole|Meadow Vole|Block Island Meadow Vole|Penobscot Meadow Vole|Beach Vole|Muskeget Vole|Mole Mouse|Pine Mouse|Pine Vole|Jalapan Pine Vole|Richardson’s Meadow Vole|Richardson’s Vole|Richardson’s Water Vole|Triangle Island Vole||Chestnut-cheeked Vole|Yellow-cheeked Vole,
Nelsonia,Nelsonia,Goldman’s Diminutive Woodrat|Western Diminutive Woodrat,Nelson and Goldman’s Woodrat|,
Neofiber,Neofiber|Schistodelta,Round-tailed Muskrat,,
Neotoma,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,White-throated Woodrat|Tamaulipan Woodrat|Bryant’s Woodrat|Bushy-tailed Woodrat|Arizona Woodrat|Guatemala Woodrat|Dusky-footed Woodrat|Goldman’s Woodrat|Angel de la Guarda Woodrat|Desert Woodrat|White-toothed Woodrat|Big-eared Woodrat|Allegheny Woodrat|Black-tailed Woodrat|Mexican Woodrat|Southern Plains Woodrat|Nelson’s Woodrat|Bolaños Woodrat|Sonoran Woodrat|Painted Woodrat|Stephens’s Woodrat,|||Packrat||Tomes’s Woodrat|San Joaquin Valley Woodrat|Riparian Woodrat|||||Large-eared Woodrat|Appalachian Woodrat|Sonora Woodrat|||||||,
Neotomodon,Neotomodon,Volcano Deermouse,Mexican Volcano Mouse,
Nyctomys,Nyctomys,Sumichrast’s Vesper Rat,Vesper Rat,
Ochrotomys,Ochrotomys,Golden Mouse,,
Oligoryzomys,Oligoryzomys,Fulvous Pygmy Rice Rat,Fulvous Colilargo|Northern Pygmy Rice Rat,
Ondatra,Ondatra|Fiber|Moschomys|Mussacus|Neondatra|Pliopotamys|Simotes,Common Muskrat,Muskbeaver,
Onychomys,Onychomys,Chihuahuan Grasshopper Mouse|Northern Grasshopper Mouse|Southern Grasshopper Mouse,Mearns’s Grasshopper Mouse||,
Oryzomys,Oryzomys|Micronectomys,White-bellied Marsh Rice Rat|Coues’s Marsh Rice Rat|Tres Marias Rice Rat|Common Marsh Rice Rat|Texas Marsh Rice Rat,White Venter Rice Rat|Coues’s Oryzomys|Coues’s Rice Rat|Tres Marias Island Rice Rat|Marsh Oryzomys|Rice Meadow Mouse|Swamp Rice Rat|Texan Rice Rat,
Osgoodomys,Osgoodomys,Osgood’s Deermouse,Michoacan Deermouse,
Otonyctomys,Otonyctomys,Yucatan Vesper Rat,Hatt’s Vesper Mouse|Hatt’s Vesper Rat|Yucatan Vesper Mouse,
Ototylomys,Ototylomys,La Pera Climbing Rat|Big-eared Climbing Rat,La Pera Big-eared Climbing Rat|,
Peromyscus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Yukon Deermouse|Texas Deermouse|Aztec Deermouse|Orizaba Deermouse|Brush Deermouse|Perote Deermouse|California Deermouse|Monserrat Island Deermouse|Carleton’s Deermouse|Carol Patton’s Deermouse|Jalisco Deermouse|Canyon Deermouse|Dickey’s Deermouse|Southern Rock Deermouse|Cactus Deermouse|Southern Baja Deermouse|Northern Baja Deermouse|Blackish Deermouse|Gambel’s Deermouse|Cotton Deermouse|Saxicoline Deermouse|La Guarda Deermouse|Naked-eared Deermouse|Hooper’s Deermouse|Transvolcanic Deermouse|San Lorenzo Deermouse|North-western Deermouse|Kilpatrick’s Deermouse|Southern Deermouse|Northern White-ankled Deermouse|Wide-rostrum Deermouse|White-footed Deermouse|Tehuantepec Deermouse|Nimble-footed Deermouse|Tres Marias Deermouse|Eastern Deermouse|Broad-faced Deermouse|Puebla Deermouse|Black-wristed Deermouse|Plateau Deermouse|Black-eared Deermouse|Black-tailed Deermouse|Merriam’s Deermouse|Mexican Deermouse|Small-footed Deermouse|Northern Rock Deermouse|El Carrizo Deermouse|Southern White-ankled Deermouse|Pemberton’s Deer Mouse|Tawny Deermouse|Oldfield Deermouse|Chihuahuan Deermouse|Coronados Deermouse|Purepechus Deermouse|Michoacan Deermouse|Durango Deermouse|Santa Cruz Deermouse|Sinaloan Deermouse|Catalina Deermouse|Western Deermouse|Gleaning Deermouse|San Esteban Deermouse|Pinyon Deermouse|Coalcoman Deermouse|Yucatan Deermouse|Zamora Deermouse|Chiapan Deermouse,|Texas Mouse|Aztec Mouse||Brush Mouse|Perote Mouse|California Mouse|Burt’s Deermouse|Montserrat Island Canyon Mouse||||Canyon Mouse|Dickey’s Mouse|Zacatecan Deermouse|Cactus Mouse|Eva’s Desert Mouse||||Cotton Mouse|Key Largo Cotton Mouse|Osgood’s Mouse|Angel Island Mouse||Hooper’s Mouse||San Lorenzo Mouse|Keen’s Mouse|||Lacey’s White-ankled Mouse||White-footed Mouse||Nimble-footed Mouse||North American Deermouse|Brown Deermouse|||Plateau Mouse|Black-eyed Deermouse|Black-eared Mouse|Black-tailed Mouse|Merriam’s Mouse|Mesquite Mouse|||Northern Rock Mouse||Encinal Mouse||Marsh Mouse|Beach Mouse|Alabama Beach Mouse|Anastasia Island Beach Mouse|Choctawhatchee Beach Mouse|Perdido Key Beach Mouse|Saint Andrews Beach Mouse|Chihuahuan Mouse|False Canyon Mouse|||Schmidly’s Deermouse|Santa Cruz Island Mouse|Nayarit Deermouse|Nayarit Mouse|Sinaloan Mouse|Slevin’s Mouse||Gleaning Mouse||Pinyon Mouse|Forest Mouse|Winkelmann’s Deermouse|Winkelmann’s Mouse|||,
Phenacomys,Phenacomys|Propliophenacomys,Western Heather Vole|Eastern Heather Vole,|,
Podomys,Podomys,Florida Deermouse,Florida Mouse,
Reithrodontomys,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Baker’s Harvest Mouse|Sonoran Harvest Mouse|Volcano Harvest Mouse|Fulvous Harvest Mouse|Slender Harvest Mouse|Hairy Harvest Mouse|Eastern Harvest Mouse|Western Harvest Mouse|Mexican Harvest Mouse|Small-toothed Harvest Mouse|Plains Harvest Mouse|Salt-marsh Harvest Mouse|Cozumel Harvest Mouse|Sumichrast’s Harvest Mouse|Narrow-nosed Harvest Mouse|Zacatecan Harvest Mouse,Baker’s Small-toothed Harvest Mouse|||||||Southern Marsh Harvest Mouse||||||||,
Rheomys,Rheomys|Neorheomys,Mexican Water Mouse|Thomas’s Water Mouse,Goodwin’s Water Mouse|Mexican Ichthyomyine|Thomas’ Ichthyomyine,
Scotinomys,Scotinomys,Short-tailed Singing Mouse,Alston’s Brown Mouse|Alston’s Singing Mouse,
Sigmodon,Sigmodon|Deilemys|Lasiomys|Sigmomys,Allen’s Cotton Rat|Arizona Cotton Rat|Tawny-bellied Cotton Rat|Burmeister’s Cotton Rat|Hispid Cotton Rat|White-eared Cotton Rat|West Mexican Cotton Rat|Yellow-nosed Cotton Rat|Miahuatlan Cotton Rat|Toltec Cotton Rat|Montane Cotton Rat,Brown Cotton Rat|Colorado River Cotton Rat||Southern Cotton Rat|||Jaliscan Cotton Rat||||,
Synaptomys,Synaptomys|Mictomys|Kentuckomys|Metaxyomys|Praesynaptomys,Northern Bog Lemming|Southern Bog Lemming,Okanagan Bog Lemming|Kansas Bog Lemming|Southern Lemming Mouse,
Tylomys,Tylomys,Chiapan Climbing Rat|Peters’s Climbing Rat|Tumbala Climbing Rat,||,
Xenomys,Xenomys,Magdalena Woodrat,Magdalena Rat,
Cuniculus,Cuniculus|Agouti|Caelogenus|Caelogenys|Coelogenus|Coelogenys|Mamcoelogenysus|Osteopera|Paca|Stictomys,Lowland Paca,Paca|Spotted Paca,
Dasyprocta,Dasyprocta|Chloromys|Cloromis|Mamdasyproctaus,Mexican Agouti|Central American Agouti,Mexican Black Agouti|,
Coendou,Coendou|Coandu|Coendu|Coendus|Cuandu|Echinoprocta|Sphiggurus|Cercolabes|Sinethere|Sinotherus|Synetheres,Mexican Hairy Porcupine,Mexican Hairy Dwarf Porcupine|Mexican Porcupine|Mexican Tree Porcupine,
Erethizon,Erethizon|Erethison|Eretison|Eretizon|Erithizon|Erythizon,North American Porcupine,Quiller|Quill Pig,
Cratogeomys,Cratogeomys|Craterogeomys|Platygeomys,Yellow-faced Pocket Gopher|Oriental Basin Pocket Gopher|Smoky Pocket Gopher|Goldman’s Pocket Gopher|Merriam’s Pocket Gopher|Cofre de Perote Pocket Gopher|Volcan de Toluca Pocket Gopher,|Fulvous Pocket Gopher||Goldman’s Yellow-faced Pocket Gopher|||,
Geomys,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Desert Pocket Gopher|Attwater’s Pocket Gopher|Baird’s Pocket Gopher|Plains Pocket Gopher|Hall’s Pocket Gopher|Jones’s Pocket Gopher|Sand Hills Pocket Gopher|Texas Pocket Gopher|South-eastern Pocket Gopher|Strecker’s Pocket Gopher|Llano Pocket Gopher|Tropical Pocket Gopher,Sand Pocket Gopher|Rio Grande Pocket Gopher|Tularosa Pocket Gopher|Victoria Pocket Gopher|Louisiana Pocket Gopher|Mer Rouge Pocket Gopher|Mississippi Valley Pocket Gopher|Colorado Pocket Gopher|Knox Jones’s Pocket Gopher|Pale Pocket Gopher|Masked Pocket Gopher|South Texas Pocket Gopher|Del Rio Pocket Gopher|Nueces Pocket Gopher|Padre Island Pocket Gopher|Rio Grande Pocket Gopher|Seaside Pocket Gopher|Sandy Mounder|Colonial Pocket Gopher|Cumberland Island Pocket Gopher|Goff’s Pocket Gopher|Sherman’s Pocket Gopher|Carrizo Springs Pocket Gopher|Central Texas Pocket Gopher|,
Heterogeomys,Heterogeomys|Macrogeomys,Hispid Pocket Gopher|Big Pocket Gopher,|,
Orthogeomys,Orthogeomys,Giant Pocket Gopher,Oaxacan Pocket Gopher,
Pappogeomys,Pappogeomys,Buller’s Pocket Gopher,Alcorn’s Pocket Gopher,
Thomomys,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Black-and-Brown Pocket Gopher|Botta’s Pocket Gopher|Camas Pocket Gopher|Wyoming Pocket Gopher|Idaho Pocket Gopher|Western Pocket Gopher|Mountain Pocket Gopher|Nayar Pocket Gopher|Sierra Madre Occidental Pocket Gopher|Northern Pocket Gopher|Townsend’s Pocket Gopher|Southern Pocket Gopher,|Valley Pocket Gopher|Camas Rat||Bitterroot Valley Pocket Gopher|Hamilton Pocket Gopher|Pygmy Pocket Gopher|Mazama Pocket Gopher|Puget Sound Pocket Gopher|Tacoma Pocket Gopher|California Mountain Pocket Gopher|Sierra Nevada Pocket Gopher||Sheldon Pocket Gopher|Vancouver Pocket Gopher||Animas Mountains Pocket Gopher,
Zygogeomys,Zygogeomys|Gygogeomys,Michoacan Pocket Gopher,,
Chaetodipus,Chaetodipus|Burtognathus,Dalquest’s Pocket Mouse|Little Desert Pocket Mouse|Narrow-skulled Pocket Mouse|Bailey’s Pocket Mouse|California Pocket Mouse|Highland Coarse-haired Pocket Mouse|Durango Coarse-haired Pocket Mouse|Chihuahuan Desert Pocket Mouse|San Diego Pocket Mouse|Long-tailed Pocket Mouse|Goldman’s Pocket Mouse|Hispid Pocket Mouse|Rock Pocket Mouse|Lined Pocket Mouse|Nelson’s Course-haired Pocket Mouse|Desert Pocket Mouse|Sinaloan Pocket Mouse|Peninsular Pocket Mouse|Cerralvo Island Pocket Mouse|Spiny Pocket Mouse,|Sand Pocket Mouse||||||Chihuahuan Pocket Mouse|Eastern Desert Pocket Mouse|Short-eared Pocket Mouse|Anthony’s Pocket Mouse||||Intermediate Pocket Mouse||Nelson's Pocket Mouse|Sonoran Desert Pocket Mouse||Baja California Pocket Mouse|Baja Pocket Mouse||,
Dipodomys,Dipodomys|Dipodops|Macrocolus|Perodipus,Agile Kangaroo Rat|California Kangaroo Rat|Gulf Coast Kangaroo Rat|Desert Kangaroo Rat|Texas Kangaroo Rat|San Quintin Kangaroo Rat|Heermann’s Kangaroo Rat|Giant Kangaroo Rat|Merriam’s Kangaroo Rat|Chisel-toothed Kangaroo Rat|Nelson’s Kangaroo Rat|San Joaquin Kangaroo Rat|Ord’s Kangaroo Rat|Plateau Kangaroo Rat|Panamint Kangaroo Rat|Phillips’s Kangaroo Rat|Dulzura Kangaroo Rat|Banner-tailed Kangaroo Rat|Stephens’s Kangaroo Rat|Narrow-faced Kangaroo Rat,Nimble Kangaroo Rat|Pacific Kangaroo Rat||||Loring’s Kangaroo Rat||Morro Bay Kangaroo Rat|Tulare Kangaroo Rat||Margarita Island Kangaroo Rat|San Bernardino Kangaroo Rat|San José Island Kangaroo Rat|Great Basin Kangaroo Rat|Houserock Chisel-toothed Kangaroo Rat|House Rock Valley Kangaroo Rat|Inyo Pocket Rat|Small-faced Kangaroo Rat||San Joaquin Valley Kangaroo Rat|Fresno Kangaroo Rat|Short-nosed Kangaroo Rat|Tipton Kangaroo Rat|Five-toed Kangaroo Rat|Ornate Kangaroo Rat|Mojave Kangaroo Rat|Southern Banner-tailed Kangaroo Rat|Cabezon Kangaroo Rat|San Borja Kangaroo Rat|Santa Catarina Kangaroo Rat|Bannertail Kangaroo Rat|Bonsall Relict Kangaroo Rat|Santa Cruz Kangaroo Rat|Big-eared Kangaroo Rat|Elephant-eared Kangaroo Rat,
Heteromys,Heteromys|Liomys|Xylomys,Desmarest’s Spiny Pocket Mouse|Gaumer’s Spiny Pocket Mouse|Goldman’s Spiny Pocket Mouse|Mexican Spiny Pocket Mouse|Nelson’s Spiny Pocket Mouse|Painted Spiny Pocket Mouse|Salvin’s Spiny Pocket Mouse|Jaliscan Spiny Pocket Mouse,|||Guerrero Spiny Pocket Mouse||||,
Microdipodops,Microdipodops,Dark Kangaroo Mouse|Pallid Kangaroo Mouse,Owyhee River Kangaroo Mouse|Pale Kangaroo Mouse|Soda Spring Valley Kangaroo Mouse,
Perognathus,Perognathus|Abromys|Cricetodipus|Otognosis,White-eared Pocket Mouse|Arizona Pocket Mouse|Olive-backed Pocket Mouse|Plains Pocket Mouse|Silky Pocket Mouse|San Joaquin Pocket Mouse|Little Pocket Mouse|Merriam’s Pocket Mouse|Great Basin Pocket Mouse|Columbia Plateau Pocket Mouse,Tehachapi Pocket Mouse|||Apache Pocket Mouse|Baird’s Pocket Mouse|Salinas Pocket Mouse|Los Angeles Little Pocket Mouse|Los Angeles Pocket Mouse|||,
Ammospermophilus,Ammospermophilus,Harris’s Antelope Squirrel|Texas Antelope Squirrel|White-tailed Antelope Squirrel|Nelson’s Antelope Squirrel,|||,
Callospermophilus,Callospermophilus,Common Golden-mantled Ground Squirrel|Sierra Madre Ground Squirrel|Cascade Golden-mantled Ground Squirrel,Green River Basin Golden-mantled Ground Squirrel|Sierra Madre Golden-mantled Ground Squirrel|,
Cynomys,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Gunnison’s Prairie Dog|White-tailed Prairie Dog|Black-tailed Prairie Dog|Mexican Prairie Dog|Utah Prairie Dog,||Arizona Black-tailed Prairie Dog|Mexican Prairie Marmot|,
Glaucomys,Glaucomys,Humboldt’s Flying Squirrel|Northern Flying Squirrel|Southern Flying Squirrel,Bachman’s Flying Squirrel|California Coast Flying Squirrel|Cascade Flying Squirrel|Klamath Flying Squirrel|Okanagan Flying Squirrel|Yellow-bellied Flying Squirrel|Carolina Flying Squirrel|Alaska Coast Flying Squirrel|Atnarko Flying Squirrel|Bangs Flying Squirrel|Broad-footed Flying Squirrel|Cascade Flying Squirrel|Hudson Bay Flying Squirrel|Labrador Flying Squirrel|Mearns’s Flying Squirrel|Okanagan Flying Squirrel|Richardson Flying Squirrel|Sierra Flying Squirrel|Yukon Flying Squirrel|Mexican Flying Squirrel|Florida Flying Squirrel|Small Eastern Flying Squirrel|Southeastern Flying Squirrel|Texas Flying Squirrel,
Ictidomys,Ictidomys|Ictidomoides,Mexican Ground Squirrel|Rio Grande Ground Squirrel|Thirteen-lined Ground Squirrel,||,
Marmota,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,Alaska Marmot|Hoary Marmot|Yellow-bellied Marmot|Woodchuck|Olympic Marmot|Vancouver Island Marmot,|||Groundhog||,
Neotamias,Neotamias,Alpine Chipmunk|Yellow-pine Chipmunk|Buller’s Chipmunk|Gray-footed Chipmunk|Gray-collared Chipmunk|Cliff Chipmunk|Durango Chipmunk|Merriam’s Chipmunk|Least Chipmunk|California Chipmunk|Yellow-cheeked Chipmunk|Palmer’s Chipmunk|Panamint Chipmunk|Long-eared Chipmunk|Colorado Chipmunk|Red-tailed Chipmunk|Hopi Chipmunk|Shadow Chipmunk|Siskiyou Chipmunk|Sierra del Carmen Chipmunk|Sonoma Chipmunk|Lodgepole Chipmunk|Townsend’s Chipmunk|Uinta Chipmunk,||||||||Peñasco Least Chipmunk|Selkirk Least Chipmunk||Redwood Chipmunk|||||||Allen’s Chipmunk||||||Hidden Forest Uinta Chipmunk|Mount Ellen Uinta Chipmunk,
Notocitellus,Notocitellus,Tropical Ground Squirrel|Ring-tailed Ground Squirrel,|,
Otospermophilus,Otospermophilus,Baja California Rock Squirrel|California Ground Squirrel|Common Rock Squirrel,|Beechey’s Ground Squirrel|Gray Digger|,
Poliocitellus,Poliocitellus,Franklin’s Ground Squirrel,,
Sciurus,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,Abert’s Squirrel|Allen’s Squirrel|Arizona Gray Squirrel|Red-bellied Squirrel|Eastern Gray Squirrel|Collie’s Squirrel|Deppe’s Squirrel|Western Gray Squirrel|Mexican Fox Squirrel|Eastern Fox Squirrel|Peters’s Squirrel|Variegated Squirrel|Yucatan Squirrel,Tassel-eared Squirrel|Kaibab Squirrel|||Mexican Gray Squirrel|Mexican Red-bellied Squirrel||||Silver Gray Squirrel|Apache Squirrel|Chiricahua Fox Squirrel|Nayarit Squirrel|Bryant’s Fox Squirrel|Cat Squirrel|Delmarva Fox Squirrel|Fox Squirrel|Stump-eared Squirrel|Western Fox Squirrel|Big Cypress Fox Squirrel|||,
Tamias,Tamias,Eastern Chipmunk,,
Tamiasciurus,Tamiasciurus,Douglas’s Squirrel|Fremont’s Squirrel|North American Red Squirrel,Chickaree|Mearn’s Squirrel|Southwestern Red Squirrel|Mount Graham Red Squirrel|Pine Squirrel,
Urocitellus,Urocitellus|Anisonyx,Uinta Ground Squirrel|Belding’s Ground Squirrel|Idaho Ground Squirrel|Merriam’s Ground Squirrel|Columbian Ground Squirrel|Wyoming Ground Squirrel|Piute Ground Squirrel|Arctic Ground Squirrel|Richardson’s Ground Squirrel|Townsend’s Ground Squirrel|Washington Ground Squirrel,||||||||||,
Xerospermophilus,Xerospermophilus,Mohave Ground Squirrel|Perote Ground Squirrel|Spotted Ground Squirrel|Round-tailed Ground Squirrel,|||,
Napaeozapus,Napaeozapus,Woodland Jumping Mouse,,
Zapus,Zapus,Meadow Jumping Mouse|Western Jumping Mouse|Pacific Jumping Mouse,Hudson Bay Jumping Mouse|Pacific Jumping Mouse|Coast Jumping Mouse|Point Reyes Jumping Mouse,
